review_text,sentiment,star_rating,category
"Horrible experience with this food, waste of money.",negative,2,food
"Mediocre performance, but does the job for a software.",neutral,3,software
"Great value for money, perfect for my needs in software.",positive,4,software
"Superb software, high quality and long-lasting.",positive,4,software
"Superb travel, high quality and long-lasting.",positive,5,travel
"An average clothing, nothing to complain about.",neutral,3,clothing
"Not worth the hype, bad software, regret my purchase.",negative,1,software
"Terrible clothing, completely unreliable and frustrating.",negative,1,clothing
"The worst food I have ever bought, do not recommend.",negative,2,food
Absolutely love this software! Exceeded my expectations.,positive,4,software
"Neither great nor terrible, just another food.",neutral,3,food
"Mediocre performance, but does the job for a electronics.",neutral,3,electronics
Absolutely love this travel! Exceeded my expectations.,positive,4,travel
Absolutely love this healthcare! Exceeded my expectations.,positive,5,healthcare
"Great value for money, perfect for my needs in travel.",positive,5,travel
The best customer_service I have ever used. Totally worth it!,positive,4,customer_service
"Superb healthcare, high quality and long-lasting.",positive,4,healthcare
"Terrible electronics, completely unreliable and frustrating.",negative,1,electronics
"Neither great nor terrible, just another food.",neutral,3,food
"Horrible experience with this customer_service, waste of money.",negative,2,customer_service
The best healthcare I have ever used. Totally worth it!,positive,5,healthcare
The best electronics I have ever used. Totally worth it!,positive,4,electronics
"Very disappointed with this food, expected better.",negative,2,food
Absolutely love this movies! Exceeded my expectations.,positive,5,movies
The best clothing I have ever used. Totally worth it!,positive,5,clothing
"Amazing experience with this healthcare, will buy again!",positive,4,healthcare
"Superb electronics, high quality and long-lasting.",positive,5,electronics
"Mediocre performance, but does the job for a customer_service.",neutral,3,customer_service
"An average software, nothing to complain about.",neutral,3,software
"Great value for money, perfect for my needs in healthcare.",positive,4,healthcare
The best customer_service I have ever used. Totally worth it!,positive,5,customer_service
"The worst travel I have ever bought, do not recommend.",negative,1,travel
"Mediocre performance, but does the job for a food.",neutral,3,food
"The movies is decent, not great but not bad either.",neutral,3,movies
"The electronics is decent, not great but not bad either.",neutral,3,electronics
"Neither great nor terrible, just another clothing.",neutral,3,clothing
"Amazing experience with this travel, will buy again!",positive,5,travel
The best software I have ever used. Totally worth it!,positive,5,software
"Terrible food, completely unreliable and frustrating.",negative,2,food
"Great value for money, perfect for my needs in customer_service.",positive,4,customer_service
"Terrible travel, completely unreliable and frustrating.",negative,1,travel
"Great value for money, perfect for my needs in travel.",positive,4,travel
"Great value for money, perfect for my needs in food.",positive,5,food
"Neither great nor terrible, just another clothing.",neutral,3,clothing
"Mediocre performance, but does the job for a customer_service.",neutral,3,customer_service
The movies meets expectations but isn't impressive.,neutral,3,movies
"Neither great nor terrible, just another clothing.",neutral,3,clothing
"The healthcare is decent, not great but not bad either.",neutral,3,healthcare
"An average food, nothing to complain about.",neutral,3,food
"Horrible experience with this customer_service, waste of money.",negative,2,customer_service
"Mediocre performance, but does the job for a food.",neutral,3,food
"Mediocre performance, but does the job for a food.",neutral,3,food
"Horrible experience with this electronics, waste of money.",negative,1,electronics
"Mediocre performance, but does the job for a food.",neutral,3,food
"Amazing experience with this software, will buy again!",positive,5,software
"Superb healthcare, high quality and long-lasting.",positive,5,healthcare
"Mediocre performance, but does the job for a food.",neutral,3,food
"Amazing experience with this software, will buy again!",positive,4,software
"Amazing experience with this movies, will buy again!",positive,4,movies
"Very disappointed with this clothing, expected better.",negative,1,clothing
"The worst clothing I have ever bought, do not recommend.",negative,2,clothing
Absolutely love this clothing! Exceeded my expectations.,positive,4,clothing
"Terrible healthcare, completely unreliable and frustrating.",negative,2,healthcare
"Horrible experience with this clothing, waste of money.",negative,1,clothing
"Mediocre performance, but does the job for a clothing.",neutral,3,clothing
"Horrible experience with this travel, waste of money.",negative,2,travel
"Mediocre performance, but does the job for a travel.",neutral,3,travel
"Neither great nor terrible, just another clothing.",neutral,3,clothing
The best travel I have ever used. Totally worth it!,positive,4,travel
